12:31:38 [Test worker] INFO  manager.ApplicationManager - Tests starts on Chrome Driver
12:31:43 [Test worker] INFO  tests.TestBase - Start test -->RegistrationTestWrongEmail
12:31:43 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Sign Out']
12:31:58 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Sign Out']was found
12:31:58 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()='LOGIN']
12:31:59 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()='LOGIN']was found
12:31:59 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //input[1]
12:31:59 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //input[1]was found
12:32:01 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //input[2]
12:32:01 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //input[2]was found
12:32:02 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[2]
12:32:02 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[2]was found
12:32:05 [Test worker] INFO  tests.TestBase - **********************************
12:32:05 [Test worker] INFO  manager.ApplicationManager - Tests finish
